name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new york city,2015-02-07,2.9,-3.7,-0.4,2.9,-8.5,-2.8,-8.7,53.9,0.447,100,8.33,"rain,snow",0,4.8,31.7,16.1,257,1018.8,85.2,14.2,99.8,8.8,5,,2015-02-07T07:00:01,2015-02-07T17:20:50,0.62,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-02-08,1.8,-0.3,1.3,1,-6,-2.6,-1.9,79.6,0,0,0,,0,4.3,38.9,24.6,61.1,1013.2,93.8,8.9,66.9,5.8,3,,2015-02-08T06:58:53,2015-02-08T17:22:04,0.66,Overcast,Cloudy skies throughout the day.,cloudy,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-02-09,-1.2,-3.6,-2.9,-6.9,-9.9,-8.9,-6.7,74.7,2.266,100,20.83,snow,0.9,4.7,43.2,28.1,56.7,1015.4,100,14.5,36.9,3.2,2,,2015-02-09T06:57:43,2015-02-09T17:23:18,0.69,"Snow, Overcast",Cloudy skies throughout the day with snow in the morning and afternoon.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-02-10,3.7,-3.3,-0.6,0.5,-9.2,-5.5,-6.7,63.7,0.22,100,4.17,snow,0,5.1,40.1,25.1,21.8,1017,75.1,15.4,69,6,3,,2015-02-10T06:56:32,2015-02-10T17:24:32,0.72,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,rain,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-02-11,0.5,-5.6,-2.3,-0.3,-12.1,-6.3,-11.1,51.5,0,0,0,,0,5.1,38.9,22.1,33.5,1016.7,9.9,16,171.9,14.8,6,,2015-02-11T06:55:20,2015-02-11T17:25:45,0.75,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-02-12,3.9,-6.1,-0.2,2.2,-13.9,-4,-7.6,58.1,0,0,0,,0,5,51.3,25.9,277.3,1009.2,88.3,14.4,79.2,6.8,3,,2015-02-12T06:54:06,2015-02-12T17:26:59,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-02-13,-6.5,-13.2,-9.3,-11.1,-22.9,-16.7,-21,38.9,0,0,0,,0,4.8,57.4,33,309,1019,3.3,16,168.8,14.7,7,,2015-02-13T06:52:51,2015-02-13T17:28:12,0.82,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-02-14,0,-8.3,-3.8,-1.8,-11.4,-6.9,-12.3,53.1,0.379,100,12.5,"rain,snow",0.9,4.5,37.1,16.6,210.8,1008.6,83.6,13.3,80.2,7,4,,2015-02-14T06:51:34,2015-02-14T17:29:25,0.86,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-02-15,-3.7,-15.3,-9.2,-10.1,-27.1,-18.3,-18,50.2,0.254,100,8.33,snow,0.5,5.5,63.7,34.6,309.4,1008.2,51.6,14.7,123.7,10.8,6,,2015-02-15T06:50:17,2015-02-15T17:30:37,0.89,"Snow, Partially cloudy",Clearing in the afternoon with early morning snow.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-02-16,-6.5,-15.7,-10.9,-6.6,-26.3,-17.7,-23.4,36.5,0,0,0,,1.1,6,59.7,28.1,307,1020.5,25.9,16,145.8,12.6,7,,2015-02-16T06:48:58,2015-02-16T17:31:50,0.92,Partially cloudy,Partly cloudy throughout the day.,snow,"72505394728,KLGA,KNYC,72503014732"
